,team,playerName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
320,NYJ,Denzel Mims,Man,6.8999999999999995,0,5,11.9,30.0,0.39666666666666667
321,NYJ,Denzel Mims,Other,0.0,0,0,0.0,2.0,0.0
322,NYJ,Denzel Mims,Zone,7.7,0,3,10.7,7.0,1.5285714285714285
323,NO,Deonte Harty,Man,15.900000000000002,0,14,29.9,75.0,0.39866666666666667
324,NO,Deonte Harty,Other,7.900000000000001,0,9,16.9,21.0,0.8047619047619047
325,NO,Deonte Harty,Zone,34.8,18,15,67.79999999999998,91.0,0.7450549450549449
329,TEN,Derrick Henry,Man,1.2000000000000002,0,2,3.2,2.0,1.6
330,TEN,Derrick Henry,Other,8.700000000000003,0,9,17.700000000000003,10.0,1.7700000000000002
332,BAL,Devin Duvernay,Man,2.8000000000000003,0,4,6.8,60.0,0.11333333333333333
333,BAL,Devin Duvernay,Other,9.900000000000002,6,14,29.9,34.0,0.8794117647058823
334,BAL,Devin Duvernay,Zone,14.500000000000002,6,15,35.50000000000001,196.0,0.18112244897959187
335,BUF,Devin Singletary,Man,5.6000000000000005,0,13,18.6,67.0,0.2776119402985075
336,BUF,Devin Singletary,Other,7.800000000000001,6,15,28.800000000000004,24.0,1.2000000000000002
337,BUF,Devin Singletary,Zone,13.800000000000002,0,20,33.800000000000004,128.0,0.26406250000000003
338,TEN,Dez Fitzpatrick,Man,4.9,6,4,14.9,4.0,3.725
343,BUF,Dion Dawkins,Other,0.0,0,0,0.0,1.0,0.0
344,PIT,Diontae Johnson,Man,63.20000000000001,30,50,143.20000000000005,280.0,0.5114285714285716
345,PIT,Diontae Johnson,Other,14.3,12,25,51.300000000000004,83.0,0.6180722891566266
346,PIT,Diontae Johnson,Zone,43.699999999999996,12,43,98.69999999999999,230.0,0.42913043478260865
347,CLE,Donovan Peoples-Jones,Man,23.6,6,19,48.60000000000001,148.0,0.3283783783783784
348,CLE,Donovan Peoples-Jones,Other,5.7,6,1,12.7,12.0,1.0583333333333333
349,CLE,Donovan Peoples-Jones,Zone,30.5,6,14,50.5,165.0,0.30606060606060603
350,TEN,Dontrell Hilliard,Man,3.6,0,6,9.6,2.0,4.8
351,TEN,Dontrell Hilliard,Other,5.3999999999999995,0,8,13.4,21.0,0.6380952380952382
353,SEA,Drew Lock,Other,0.1,0,1,1.1,1.0,1.1
355,CIN,Drew Sample,Other,0.6000000000000001,0,2,2.6,1.0,2.6
356,CIN,Drew Sample,Zone,7.1000000000000005,0,8,15.1,21.0,0.719047619047619
357,MIA,Durham Smythe,Man,16.0,0,13,29.0,82.0,0.35365853658536583
358,MIA,Durham Smythe,Other,2.8000000000000003,0,4,6.800000000000001,8.0,0.8500000000000001
359,MIA,Durham Smythe,Zone,17.2,0,18,35.2,96.0,0.3666666666666667
362,WAS,Dyami Brown,Man,11.400000000000002,0,8,19.400000000000002,43.0,0.45116279069767445
363,WAS,Dyami Brown,Other,0.0,0,1,1.0,2.0,0.5
364,WAS,Dyami Brown,Zone,5.1,0,4,9.1,34.0,0.2676470588235294
367,SF,Elijah Mitchell,Other,5.600000000000001,0,8,13.6,18.0,0.7555555555555555
368,SF,Elijah Mitchell,Zone,7.200000000000001,0,11,18.200000000000003,2.0,9.100000000000001
369,NYJ,Elijah Moore,Man,26.90000000000001,12,15,53.9,125.0,0.43119999999999997
370,NYJ,Elijah Moore,Other,2.9000000000000004,0,11,13.899999999999999,22.0,0.6318181818181817
371,NYJ,Elijah Moore,Zone,27.299999999999997,18,19,64.29999999999998,146.0,0.4404109589041095
373,ARI,Eno Benjamin,Other,2.1,0,3,5.1,1.0,5.1
375,CHI,Equanimeous St. Brown,Man,7.300000000000001,0,5,12.3,32.0,0.384375
376,CHI,Equanimeous St. Brown,Other,2.1,0,2,4.1000000000000005,2.0,2.0500000000000003
379,JAX,Evan Engram,Man,12.400000000000002,6,15,33.4,179.0,0.18659217877094972
380,JAX,Evan Engram,Other,6.2,0,10,16.2,42.0,0.3857142857142857
381,JAX,Evan Engram,Zone,22.2,12,21,55.2,198.0,0.2787878787878788
382,DAL,Ezekiel Elliott,Man,9.0,0,12,21.000000000000004,133.0,0.15789473684210528
383,DAL,Ezekiel Elliott,Other,10.300000000000002,12,19,41.3,37.0,1.1162162162162161
384,DAL,Ezekiel Elliott,Zone,11.999999999999998,0,24,36.0,162.0,0.2222222222222222
385,LV,Foster Moreau,Man,17.799999999999997,18,14,49.8,111.0,0.4486486486486486
386,LV,Foster Moreau,Other,1.9,0,4,5.9,7.0,0.8428571428571429
387,LV,Foster Moreau,Zone,18.700000000000003,0,13,31.700000000000003,137.0,0.23138686131386862
390,SEA,Freddie Swain,Man,5.9,6,5,16.9,108.0,0.15648148148148147
391,SEA,Freddie Swain,Other,1.6,0,6,7.6,38.0,0.19999999999999998
