team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
ATL,Damiere Byrd,3.0,7 Step,1.9000000000000001,0,1,2.9000000000000004,3.0,0.9666666666666668,3,34,0.08823529411764706
JAX,Dan Arnold,7.0,0/1 Step,5.300000000000001,0,6,11.3,7.0,1.6142857142857143,7,50,0.14
JAX,Dan Arnold,25.0,3 Step,15.7,0,14,29.7,25.0,1.188,27,50,0.54
JAX,Dan Arnold,12.0,5 Step,11.900000000000002,0,8,19.900000000000002,12.0,1.6583333333333334,13,50,0.26
JAX,Dan Arnold,3.0,7 Step,2.9000000000000004,0,2,4.9,3.0,1.6333333333333335,3,50,0.06
CHI,Dante Pettis,8.0,0/1 Step,6.3999999999999995,6,8,20.4,8.0,2.55,8,8,1.0
NYG,Darius Slayton,8.0,0/1 Step,5.500000000000001,0,7,12.5,8.0,1.5625,8,49,0.16326530612244897
NYG,Darius Slayton,28.0,3 Step,18.299999999999997,12,13,43.3,28.0,1.5464285714285713,28,49,0.5714285714285714
NYG,Darius Slayton,8.0,5 Step,5.9,0,2,7.9,8.0,0.9875,9,49,0.1836734693877551
NYG,Darius Slayton,4.0,7 Step,1.8,0,1,2.8,4.0,0.7,4,49,0.08163265306122448
CHI,Darnell Mooney,28.0,0/1 Step,13.200000000000001,6,19,38.199999999999996,28.0,1.364285714285714,28,119,0.23529411764705882
CHI,Darnell Mooney,46.0,3 Step,32.0,12,26,70.0,46.0,1.5217391304347827,46,119,0.3865546218487395
CHI,Darnell Mooney,24.0,5 Step,21.2,0,10,31.200000000000003,24.0,1.3,24,119,0.20168067226890757
CHI,Darnell Mooney,21.0,7 Step,16.5,0,7,23.500000000000004,21.0,1.1190476190476193,21,119,0.17647058823529413
ARI,Darrel Williams,27.0,3 Step,18.200000000000006,0,21,39.2,27.0,1.451851851851852,29,45,0.6444444444444445
ARI,Darrel Williams,12.0,5 Step,12.0,6,11,29.000000000000004,12.0,2.416666666666667,12,45,0.26666666666666666
ARI,Darrel Williams,4.0,7 Step,2.3000000000000003,0,3,5.300000000000001,4.0,1.3250000000000002,4,45,0.08888888888888889
LV,Darren Waller,15.0,0/1 Step,14.7,0,13,27.700000000000003,15.0,1.846666666666667,21,96,0.21875
LV,Darren Waller,34.0,3 Step,26.000000000000004,12,21,59.0,34.0,1.7352941176470589,37,96,0.3854166666666667
LV,Darren Waller,20.0,5 Step,18.1,0,12,30.100000000000005,20.0,1.5050000000000003,25,96,0.2604166666666667
LV,Darren Waller,11.0,7 Step,13.900000000000002,0,7,20.9,11.0,1.9,13,96,0.13541666666666666
LV,Davante Adams,18.0,0/1 Step,13.899999999999999,6,14,33.9,18.0,1.8833333333333333,18,142,0.1267605633802817
LV,Davante Adams,68.0,3 Step,66.1,30,50,146.10000000000002,68.0,2.1485294117647062,77,142,0.5422535211267606
LV,Davante Adams,36.0,5 Step,38.3,6,21,65.30000000000001,36.0,1.813888888888889,38,142,0.2676056338028169
LV,Davante Adams,8.0,7 Step,16.9,6,7,29.9,8.0,3.7375,9,142,0.06338028169014084
CHI,David Montgomery,8.0,0/1 Step,4.800000000000001,0,7,11.799999999999999,8.0,1.4749999999999999,8,53,0.1509433962264151
CHI,David Montgomery,23.0,3 Step,13.100000000000001,0,19,32.10000000000001,23.0,1.3956521739130439,25,53,0.4716981132075472
CHI,David Montgomery,10.0,5 Step,6.100000000000001,0,10,16.099999999999998,10.0,1.6099999999999999,13,53,0.24528301886792453
CHI,David Montgomery,6.0,7 Step,8.600000000000001,0,7,15.600000000000001,6.0,2.6,7,53,0.1320754716981132
CLE,David Njoku,23.0,3 Step,22.8,12,16,50.8,23.0,2.2086956521739127,26,42,0.6190476190476191
CLE,David Njoku,12.0,5 Step,5.2,6,6,17.2,12.0,1.4333333333333333,13,42,0.30952380952380953
CLE,David Njoku,3.0,7 Step,8.5,0,3,11.5,3.0,3.8333333333333335,3,42,0.07142857142857142
BUF,Dawson Knox,16.0,0/1 Step,15.0,18,14,47.0,16.0,2.9375,18,71,0.2535211267605634
BUF,Dawson Knox,29.0,3 Step,30.500000000000004,30,22,82.5,29.0,2.8448275862068964,34,71,0.4788732394366197
BUF,Dawson Knox,11.0,5 Step,11.8,6,10,27.799999999999997,11.0,2.527272727272727,13,71,0.18309859154929578
BUF,Dawson Knox,4.0,7 Step,6.5,6,5,17.500000000000004,4.0,4.375000000000001,6,71,0.08450704225352113
LAC,DeAndre Carter,6.0,0/1 Step,1.6,0,3,4.6,6.0,0.7666666666666666,6,34,0.17647058823529413
LAC,DeAndre Carter,20.0,3 Step,14.600000000000001,12,12,38.6,20.0,1.9300000000000002,20,34,0.5882352941176471
LAC,DeAndre Carter,8.0,5 Step,8.8,0,5,13.8,8.0,1.725,8,34,0.23529411764705882
NE,DeVante Parker,16.0,0/1 Step,10.200000000000001,6,10,26.200000000000006,16.0,1.6375000000000004,16,67,0.23880597014925373
NE,DeVante Parker,31.0,3 Step,23.900000000000006,6,19,48.900000000000006,31.0,1.5774193548387099,32,67,0.47761194029850745
NE,DeVante Parker,15.0,5 Step,9.100000000000001,0,4,13.100000000000001,15.0,0.8733333333333334,16,67,0.23880597014925373
NE,DeVante Parker,3.0,7 Step,2.7,0,2,4.7,3.0,1.5666666666666667,3,67,0.04477611940298507
PHI,DeVonta Smith,23.0,0/1 Step,14.3,6,16,36.300000000000004,23.0,1.5782608695652176,24,103,0.23300970873786409
PHI,DeVonta Smith,30.0,3 Step,30.200000000000003,0,23,53.2,30.0,1.7733333333333334,35,103,0.33980582524271846
